   PPID     PID    PGID     SID TTY        TPGID STAT   UID   TIME COMMAND
      0       1       1       1 ?             -1 Ss       0   0:01 /sbin/init splash
      0       2       0       0 ?             -1 S        0   0:00 [kthreadd]
      2       3       0       0 ?             -1 I<       0   0:00 [rcu_gp]
      2       4       0       0 ?             -1 I<       0   0:00 [rcu_par_gp]
      2       5       0       0 ?             -1 I<       0   0:00 [slub_flushwq]
      2       6       0       0 ?             -1 I<       0   0:00 [netns]
      2       7       0       0 ?             -1 I        0   0:05 [kworker/0:0-events]
      2       8       0       0 ?             -1 I<       0   0:00 [kworker/0:0H-events_highpri]
      2      10       0       0 ?             -1 I<       0   0:00 [mm_percpu_wq]
      2      11       0       0 ?             -1 I        0   0:00 [rcu_tasks_kthread]
      2      12       0       0 ?             -1 I        0   0:00 [rcu_tasks_rude_kthread]
      2      13       0       0 ?             -1 I        0   0:00 [rcu_tasks_trace_kthread]
      2      14       0       0 ?             -1 S        0   0:00 [ksoftirqd/0]
      2      15       0       0 ?             -1 I        0   0:16 [rcu_preempt]
      2      16       0       0 ?             -1 S        0   0:00 [migration/0]
      2      17       0       0 ?             -1 S        0   0:00 [idle_inject/0]
      2      19       0       0 ?             -1 S        0   0:00 [cpuhp/0]
      2      20       0       0 ?             -1 S        0   0:00 [cpuhp/1]
      2      21       0       0 ?             -1 S        0   0:00 [idle_inject/1]
      2      22       0       0 ?             -1 S        0   0:01 [migration/1]
      2      23       0       0 ?             -1 S        0   0:00 [ksoftirqd/1]
      2      25       0       0 ?             -1 I<       0   0:00 [kworker/1:0H-events_highpri]
      2      26       0       0 ?             -1 S        0   0:00 [cpuhp/2]
      2      27       0       0 ?             -1 S        0   0:00 [idle_inject/2]
      2      28       0       0 ?             -1 S        0   0:00 [migration/2]
      2      29       0       0 ?             -1 S        0   0:00 [ksoftirqd/2]
      2      31       0       0 ?             -1 I<       0   0:00 [kworker/2:0H-events_highpri]
      2      32       0       0 ?             -1 S        0   0:00 [cpuhp/3]
      2      33       0       0 ?             -1 S        0   0:00 [idle_inject/3]
      2      34       0       0 ?             -1 S        0   0:00 [migration/3]
      2      35       0       0 ?             -1 S        0   0:00 [ksoftirqd/3]
      2      37       0       0 ?             -1 I<       0   0:00 [kworker/3:0H-events_highpri]
      2      38       0       0 ?             -1 S        0   0:00 [cpuhp/4]
      2      39       0       0 ?             -1 S        0   0:00 [idle_inject/4]
      2      40       0       0 ?             -1 S        0   0:00 [migration/4]
      2      41       0       0 ?             -1 S        0   0:00 [ksoftirqd/4]
      2      43       0       0 ?             -1 I<       0   0:00 [kworker/4:0H-events_highpri]
      2      44       0       0 ?             -1 S        0   0:00 [cpuhp/5]
      2      45       0       0 ?             -1 S        0   0:00 [idle_inject/5]
      2      46       0       0 ?             -1 S        0   0:00 [migration/5]
      2      47       0       0 ?             -1 S        0   0:00 [ksoftirqd/5]
      2      49       0       0 ?             -1 I<       0   0:00 [kworker/5:0H-kblockd]
      2      50       0       0 ?             -1 S        0   0:00 [cpuhp/6]
      2      51       0       0 ?             -1 S        0   0:00 [idle_inject/6]
      2      52       0       0 ?             -1 S        0   0:00 [migration/6]
      2      53       0       0 ?             -1 S        0   0:00 [ksoftirqd/6]
      2      55       0       0 ?             -1 I<       0   0:00 [kworker/6:0H-events_highpri]
      2      56       0       0 ?             -1 S        0   0:00 [cpuhp/7]
      2      57       0       0 ?             -1 S        0   0:00 [idle_inject/7]
      2      58       0       0 ?             -1 S        0   0:00 [migration/7]
      2      59       0       0 ?             -1 S        0   0:00 [ksoftirqd/7]
      2      61       0       0 ?             -1 I<       0   0:00 [kworker/7:0H-events_highpri]
      2      62       0       0 ?             -1 S        0   0:00 [cpuhp/8]
      2      63       0       0 ?             -1 S        0   0:00 [idle_inject/8]
      2      64       0       0 ?             -1 S        0   0:01 [migration/8]
      2      65       0       0 ?             -1 S        0   0:01 [ksoftirqd/8]
      2      67       0       0 ?             -1 I<       0   0:00 [kworker/8:0H-events_highpri]
      2      68       0       0 ?             -1 S        0   0:00 [cpuhp/9]
      2      69       0       0 ?             -1 S        0   0:00 [idle_inject/9]
      2      70       0       0 ?             -1 S        0   0:01 [migration/9]
      2      71       0       0 ?             -1 S        0   0:00 [ksoftirqd/9]
      2      73       0       0 ?             -1 I<       0   0:00 [kworker/9:0H-events_highpri]
      2      74       0       0 ?             -1 S        0   0:00 [cpuhp/10]
      2      75       0       0 ?             -1 S        0   0:00 [idle_inject/10]
      2      76       0       0 ?             -1 S        0   0:01 [migration/10]
      2      77       0       0 ?             -1 S        0   0:00 [ksoftirqd/10]
      2      79       0       0 ?             -1 I<       0   0:00 [kworker/10:0H-events_highpri]
      2      80       0       0 ?             -1 S        0   0:00 [cpuhp/11]
      2      81       0       0 ?             -1 S        0   0:00 [idle_inject/11]
      2      82       0       0 ?             -1 S        0   0:01 [migration/11]
      2      83       0       0 ?             -1 S        0   0:00 [ksoftirqd/11]
      2      85       0       0 ?             -1 I<       0   0:00 [kworker/11:0H-kblockd]
      2      86       0       0 ?             -1 S        0   0:00 [cpuhp/12]
      2      87       0       0 ?             -1 S        0   0:00 [idle_inject/12]
      2      88       0       0 ?             -1 S        0   0:01 [migration/12]
      2      89       0       0 ?             -1 S        0   0:00 [ksoftirqd/12]
      2      91       0       0 ?             -1 I<       0   0:00 [kworker/12:0H-events_highpri]
      2      92       0       0 ?             -1 S        0   0:00 [cpuhp/13]
      2      93       0       0 ?             -1 S        0   0:00 [idle_inject/13]
      2      94       0       0 ?             -1 S        0   0:01 [migration/13]
      2      95       0       0 ?             -1 S        0   0:00 [ksoftirqd/13]
      2      97       0       0 ?             -1 I<       0   0:00 [kworker/13:0H-events_highpri]
      2      98       0       0 ?             -1 S        0   0:00 [cpuhp/14]
      2      99       0       0 ?             -1 S        0   0:00 [idle_inject/14]
      2     100       0       0 ?             -1 S        0   0:01 [migration/14]
      2     101       0       0 ?             -1 S        0   0:00 [ksoftirqd/14]
      2     103       0       0 ?             -1 I<       0   0:00 [kworker/14:0H-events_highpri]
      2     104       0       0 ?             -1 S        0   0:00 [cpuhp/15]
      2     105       0       0 ?             -1 S        0   0:00 [idle_inject/15]
      2     106       0       0 ?             -1 S        0   0:01 [migration/15]
      2     107       0       0 ?             -1 S        0   0:00 [ksoftirqd/15]
      2     109       0       0 ?             -1 I<       0   0:00 [kworker/15:0H-kblockd]
      2     110       0       0 ?             -1 S        0   0:00 [kdevtmpfs]
      2     111       0       0 ?             -1 I<       0   0:00 [inet_frag_wq]
      2     112       0       0 ?             -1 S        0   0:00 [kauditd]
      2     113       0       0 ?             -1 S        0   0:00 [khungtaskd]
